"full_name","a","e","i","om","w","q","ad","per_y","data_arc","n_obs_used","H","diameter","albedo","rot_per","BV","UB","IR","moid"
"    15 Eunomia","2.644100304490733",".1860843620330185","11.75242982472844","292.9343386609643","98.49868083964806","2.152074586178265","3.136126022803201","4.29957066894305","61247","2501","5.28","231.689","0.248","6.083",".839",".451","","1.19485"
"    16 Psyche","2.923813680217348",".1335684148335463","3.096005208804772","150.0456663982905","228.8230713564875","2.53328452168208","3.314342838752617","4.99957103079139","12856","2364","5.90","226","0.1203","4.196",".729",".299","","1.5358"
"    17 Thetis","2.470354085250579",".1330315975326713","5.591204766084532","125.5529436748931","136.2082516830372","2.141718934818333","2.798989235682824","3.88281780512896","61117","3650","7.76","84.899","0.193","12.27048",".829",".438","","1.12981"
"    18 Melpomene","2.29665350984091",".2176743622521839","10.12873129564968","150.3838618286583","227.9508469405316","1.79673092177205","2.79657609790977","3.48057840367947","60906","5082","6.51","139.594","0.181","11.570",".854",".425","",".813258"
"    19 Fortuna","2.442710697047048",".1580468510700675","1.573782207412067","211.1440435363498","182.0650176105087","2.056647963303592","2.828773430790503","3.81782707610074","60970","3316","7.13","200","0.037","7.4432",".719",".324","","1.06213"
"    20 Massalia","2.409781791609093",".1420667051541423",".7087512033102101","206.1089108591462","256.7731963771298","2.067432032334743","2.752131550883443","3.74088863881228","59461","2481","6.50","135.680","0.241","8.098",".854",".463","","1.08461"
"    21 Lutetia","2.434958097843538",".1633561029117851","3.064054860830471","80.86581220979981","249.9169212622341","2.037192832226325","2.832723363460752","3.79966615365968","55915","4752","7.35","95.76","0.2212","8.1655",".686",".189","","1.02791"
"    22 Kalliope","2.914849074261728",".09767688943895003","13.7153120456275","66.05276970638242","356.0820817270883","2.630135683503839","3.199562465019616","4.97659514197866","60393","2923","6.45","167.536","0.166","4.1483",".715",".234","","1.64321"
"    23 Thalia","2.625683427708691",".2349839170984181","10.11425811491532","66.84681403363018","60.63681441400291","2.008690050805301","3.24267680461208","4.25472746636204","59343","2213","6.95","107.53","0.2536","12.312",".859",".442","","1.04633"
"    24 Themis","3.13617131483923",".1247427752533025",".7515879347196438","35.92589903474867","106.9571689643557","2.744956601356386","3.527386028322075","5.55402550238208","60645","3662","7.08","198","0.067","8.374",".684",".336","","1.75813"
"    25 Phocaea","2.400160565260386",".2546138983930167","21.60484031088786","214.1306086626264","90.26321459396637","1.789046326970252","3.011274803550519","3.71850736713822","58150","3132","7.83","61.054","0.350","9.9341",".932",".513","",".923495"
"    26 Proserpina","2.654330893258145",".09014487436010113","3.56341299594487","45.7779808884257","193.4497991154618","2.415056568375254","2.893605218141035","4.32454872716534","57907","2259","7.4","94.80","0.1966","13.110",".891",".525","","1.40287"
"    27 Euterpe","2.346664413387002",".1732258450219096","1.583713718012849","94.78795695467649","356.4498657783984","1.940161487395195","2.753167339378809","3.59488236339499","60345","2669","7.0","96","0.215","10.4082",".878",".502","",".956809"
"    28 Bellona","2.775765930379437",".1518626130240446","9.429548932055635","144.296169725839","344.1009091369476","2.354230863048898","3.197300997709976","4.62468826487103","59495","2738","7.09","120.90","0.1763","15.706",".845",".469","","1.37086"
"    29 Amphitrite","2.554113562629857",".0726955355107702","6.082523343833398","356.3417672264347","63.36324048192493","2.368440909439159","2.739786215820556","4.08195776735358","59923","2318","5.85","189.559","0.216","5.3921",".838",".449","","1.3871"
"    30 Urania","2.365572137028743",".1275810000537313","2.095743731303192","307.4686115890925","87.42620758559671","2.063770078087373","2.667374195970112","3.63841720411813","58087","3289","7.57","92.787","0.192","13.686",".873",".459","","1.0709"
"    31 Euphrosyne","3.155402310602149",".2208570107400585","26.30334546473082","31.11858135122531","61.47037757937756","2.458509588600285","3.852295032604013","5.60518964586594","58007","2377","6.74","267.080","0.053","5.530",".687",".317","","1.56992"
"    32 Pomona","2.588507763685152",".08090138886330642","5.523952791489481","220.4415627278762","339.5357808848074","2.379093890519572","2.797921636850732","4.1646874108724","56838","2133","7.56","80.76","0.2564","9.448",".857",".429","","1.37704"
"    33 Polyhymnia","2.873455529997662",".3313462948753137","1.852843674788687","8.46636546231943","338.3718432591631","1.921346686643956","3.825564373351368","4.87096403268022","59639","2832","8.55","52.929","0.240","18.608",".848",".438","",".913808"
"    34 Circe","2.687383409811969",".1059480471416758","5.496017155278799","184.3613091649834","330.6761386897036","2.402660385621453","2.972106434002485","4.40557551647237","56728","3115","8.51","132.992","0.052","12.15",".707",".357","","1.41435"
"    35 Leukothea","2.994071835235822",".2255881620737344","7.932713102574863","353.7389409012455","213.3967316034808","2.31864467280824","3.669498997663405","5.18085605692273","58229","3165","8.5","103.055","0.066","31.900",".703",".335","","1.31998"
"    36 Atalante","2.746824010320835",".3049060162320728","18.36926143153251","358.2100147622147","47.79654907779766","1.909300844043303","3.584347176598367","4.5525471740482","56069","1720","8.46","115.204","0.036","9.93",".713",".363","",".959267"
"    37 Fides","2.642283305834546",".1756051682979327","3.070811193904193","7.269127305539125","62.84345782733516","2.178284701222652","3.106281910446439","4.29513949901444","59849","2605","7.29","108.35","0.1826","7.3335",".843",".414","","1.19442"
"    38 Leda","2.739454926363413",".1549825246139624","6.970974749496427","295.7200190363218","169.3124261080389","2.314887285809454","3.164022566917371","4.53423934377129","59638","2460","8.32","92.255","0.055","12.838",".726",".419","","1.33232"
"    39 Laetitia","2.769319014008027",".1114755765007164","10.36898090089542","156.953099410648","209.13246566237","2.460607580407087","3.078030447608967","4.60858586610864","59605","5742","6.0","179.484","0.269","5.138",".898",".494","","1.46215"
"    40 Harmonia","2.267246519451427",".04702133026568632","4.257400416930347","94.18886001620341","269.7316159297505","2.160637572066574","2.373855466836281","3.41394341117436","56470","5137","7.00","111.251","0.220","8.910",".854",".432","","1.16159"
"    41 Daphne","2.760438708746121",".2754175335297563","15.79210045099542","178.0867398133488","45.89572505160524","2.000165488123199","3.520711929369043","4.58643629283285","55919","2535","7.12","205.495","0.059","5.988",".726",".363","","1.02633"
"    42 Isis","2.441703518969128",".2228231523061669","8.514622308397911","84.19733428151501","237.3054379630882","1.897635443875366","2.985771594062889","3.81546607075487","59493","2754","7.53","110.997","0.139","13.590",".874",".462","",".899544"
"    43 Ariadne","2.203475092970773",".1683218792164311","3.471397137699796","264.8102007237677","16.27152564983157","1.832582024515333","2.574368161426214","3.27092375589429","56486","2495","7.93","71.340","0.234","5.76218",".863",".490","",".81586"
"    44 Nysa","2.423451098570055",".1479229098975039","3.706552416743967","131.5475632675764","343.3326644654945","2.06496716007527","2.78193503706484","3.77276360084037","56780","2665","7.03","70.64","0.482","6.422",".703",".245","","1.08194"
"    45 Eugenia","2.720882627017159",".08443837441752382","6.603526586154945","147.6084201916077","88.16801953991779","2.491135721010948","2.95062953302337","4.48820736177114","55867","3234","7.46","202.327","0.045","5.699",".676",".274","","1.4906"
"    46 Hestia","2.525788445519964",".1720022175212338","2.349673627816967","181.0874775984292","177.4171769489145","2.09134723190102","2.960229659138908","4.01424301688854","56621","3338","8.36","112.414","0.046","21.040",".692",".226","","1.08671"
"    47 Aglaja","2.881429414958211",".1298072673973523","4.975207886359049","3.081372987369584","314.6872969046004","2.507398936404134","3.255459893512288","4.89125359680165","58251","2833","7.84","168.174","0.082","13.178",".665",".300","","1.49661"
"    48 Doris","3.11008809457609",".0724438865232663","6.547416659615668","183.5539792685335","253.0539187946353","2.884781225575258","3.335394963576922","5.48488136464353","58146","2829","6.90","216.473","0.065","11.89",".716",".442","","1.90839"
"    49 Pales","3.105045615151219",".2220670223557922","3.195215221040578","285.0858159401986","112.2986826704456","2.415517381115678","3.79457384918676","5.47154756808557","56886","2682","7.8","166.252","0.048","20.705",".749",".411","","1.42463"
"    50 Virginia","2.6487938488856",".2859855287089949","2.838219801068548","173.5287308608633","200.0805719230602","1.891277139570919","3.406310558200282","4.31102400447743","59008","2896","9.24","84.074","0.050","14.315",".703",".347","",".891422"
"    51 Nemausa","2.365835370412357",".06755935675097367","9.977178478615485","175.9784966589444","2.58053764601879","2.206001054608597","2.525669686216117","3.63902452834644","56958","5311","7.35","138.159","0.105","7.783",".789",".482","","1.21015"
"    52 Europa","3.093091390214208",".1103692597797391","7.478751878630996","128.6061594638179","343.5585227720246","2.751709183045182","3.434473597383235","5.43998034310144","58012","3063","6.31","303.918","0.057","5.6304",".679",".338","","1.76943"
"    53 Kalypso","2.616773602009664",".2055675539671132","5.171236716881636","143.5538596316308","313.2761609069267","2.078849853358825","3.154697350660503","4.23308926992857","56110","2828","8.81","90.893","0.031","9.036",".705",".318","","1.09974"
"    54 Alexandra","2.710377899263257",".1973389536723015","11.79829754192987","313.2523820559603","344.958921638062","2.175514760566115","3.245241037960399","4.46224049707346","56810","2242","7.66","154.137","0.041","7.024",".727",".357","","1.16147"
"    55 Pandora","2.759834766616515",".1429687058682876","7.180069491515148","10.3813566267654","5.370131629479678","2.365264761623044","3.154404771609986","4.58493121109583","56886","2838","7.7","84.794","0.204","4.8040",".704",".242","","1.36566"
"    56 Melete","2.595744872041014",".2380827739019062","8.080990773256605","192.9849354797338","105.0371245299217","1.977742732563841","3.213747011518188","4.18216544495266","56213","2608","8.31","121.333","0.057","18.147",".697",".312","",".980357"
"    57 Mnemosyne","3.151209171387807",".1134668535347681","15.2150901910628","199.2006563972965","210.7687811129155","2.793651381880529","3.508766960895085","5.59402045337933","58312","2607","7.03","112.59","0.2149","12.463",".817",".410","","1.81222"
"    58 Concordia","2.700075757582706",".04278237110554925","5.065410280430273","161.1075355296071","30.80176723262274","2.584560114508706","2.815591400656707","4.43682323558853","56705","3121","8.86","106.517","0.044","9.895",".690",".370","","1.58633"
"    59 Elpis","2.71183615807797",".119291448707093","8.641685581142685","170.0264279184272","211.0823939639798","2.388337294124572","3.035335022031369","4.46584219596128","57008","2355","7.93","165.119","0.044","13.671",".662",".285","","1.39378"
"    60 Echo","2.392299537350661",".1845543450538844","3.600353944738711","191.5523592088536","271.2147491270959","1.9507902630622","2.833808811639123","3.70025399928674","57937","3036","8.21","43.218","0.373","25.208",".854",".452","",".971724"
"    61 Danae","2.985558303930569",".1659587169233777","18.19649464790589","333.6550236522231","12.42664142091698","2.490078878510316","3.481037729350822","5.15877441692335","56240","2067","7.68","85.937","0.203","11.45",".852",".402","","1.4837"
"    62 Erato","3.135443051644609",".1677318349010759","2.233522155545621","125.1514784028005","276.3918497934644","2.60952943536443","3.661356667924788","5.55209103015825","41479","3041","8.76","106.921","0.048","9.2213",".708",".378","","1.61861"
"    63 Ausonia","2.395430898443514",".1269055111202291","5.775580892807374","337.7332922551513","295.9440817279706","2.09143751592335","2.699424280963677","3.70752145597268","57880","2563","7.55","116.044","0.125","9.298",".916",".500","","1.08249"
"    64 Angelina","2.681124845833428",".1255294266046353","1.309694153364259","309.117476796476","178.8060575453647","2.344564781280516","3.01768491038634","4.39019446775482","57770","2646","7.67","58.292","0.483","8.752",".734",".254","","1.36002"
"    65 Cybele","3.425952865453392",".1119429431855477","3.563530794176698","155.6163089342487","102.6307565800994","3.042441618479578","3.809464112427205","6.3413288817104","57769","3172","6.62","237.26","0.0706","6.0814",".690",".271","","2.02972"
"    66 Maja","2.646063567463165",".172940539153002","3.045598952706451","7.503739789589401","43.9852487643797","2.188451907472969","3.103675227453361","4.30436024969029","57704","2749","9.36","71.82","0.0618","9.73509",".697",".360","","1.1999"
"    67 Asia","2.421340540857154",".1854269302314142","6.030227518156664","202.4413346526412","107.021242396738","1.97235879732114","2.870322284393168","3.7678361846696","56780","2712","8.28","56.309","0.228","15.853",".861",".434","",".967588"
"    68 Leto","2.78302012604472",".1862029502052109","7.968841693175382","44.13311374290322","304.4913178596117","2.264813568094716","3.301226683994726","4.64282936740197","56876","2472","6.78","122.509","0.228","14.848",".845",".488","","1.26971"
"    69 Hesperia","2.9767224869112",".1703273350397793","8.591269314175479","184.9969793056707","289.1865930972567","2.469705278562631","3.483739695259769","5.13589013181941","57815","3130","7.05","138.13","0.1402","5.655",".674",".230","","1.50235"
"    70 Panopaea","2.61590929937699",".1804261744058363","11.59491855431129","47.69627906198493","255.3893550148775","2.143930791897748","3.087887806856232","4.23099220195579","55850","3039","8.11","127.911","0.038","15.8052",".740",".390","","1.1631"
"    71 Niobe","2.756529552536628",".1733221175934438","23.26242196875877","316.0043201994174","266.9750610645945","2.278762013282072","3.234297091791185","4.57669721756432","56731","2419","7.30","83.42","0.3052","35.864",".803",".439","","1.40954"
"    72 Feronia","2.266080908420367",".1204878447885234","5.416017987804762","207.9632770195315","102.7844719280397","1.993045703648378","2.539116113192356","3.41131104285699","56302","2710","8.94","74.966","0.083","8.097",".785",".375","",".986631"
"    73 Klytia","2.664796617773579",".04292695422169537","2.37005639952541","7.019122251475021","52.64337163431916","2.550405015352284","2.779188220194875","4.3501507271488","56565","2754","9.0","44.590","0.223","8.297","","","","1.56277"
"    74 Galatea","2.783093829777455",".2364369070849583","4.070961925569751","197.1968589968537","174.3051994087022","2.125067732537643","3.441119927017268","4.64301380522756","56815","2906","8.66","118.71","0.0431","17.268",".686",".320","","1.12443"
"    75 Eurydike","2.674602631884657",".3036918813686322","4.991337845584126","359.3525318678238","339.27684055749","1.86234752669411","3.486857737075204","4.37418456431311","56708","3126","8.96","62.377","0.117","5.357",".710",".266","",".853735"
"    76 Freia","3.412680486391497",".1658287490272811","2.121739647836617","204.3038759841592","252.4037877617686","2.846759950503382","3.978601022279613","6.3045144727841","56747","3047","7.90","145.423","0.058","9.973",".704",".298","","1.86461"
"    77 Frigga","2.668110948805894",".1322980711216129","2.422958193601397","1.149364306392714","61.8302727502266","2.315125016740418","3.021096880871371","4.35826897615079","51164","2726","8.52","61.390","0.177","9.012",".746",".249","","1.32908"
"    78 Diana","2.619441852555652",".2073652080245218","8.7009727192792","333.4009124849898","152.7725128384428","2.07626074789231","3.162622957218994","4.23956546347959","56942","2449","8.09","120.60","0.0706","7.2991",".713",".380","","1.0957"
"    79 Eurynome","2.446712333827744",".1899614074527387","4.613126822431774","206.5830755913382","201.1851897248781","1.981931415261851","2.911493252393637","3.82721243585675","56932","2626","7.96","63.479","0.287","5.978",".874",".421","",".99198"
"    80 Sappho","2.295864534731776",".2000324844874352","8.675456519078793","218.6962037115934","139.6536723876442","1.836617047802789","2.755112021660763","3.47878502005117","56098","2328","7.98","68.563","0.206","14.030",".901",".523","",".842872"
"    81 Terpsichore","2.85359719163877",".2106974023882882","7.802982638441601",".9596450100620345","51.67737781552405","2.252351675897967","3.454842707379573","4.820556813111","56522","3034","8.48","117.727","0.045","10.943",".701",".346","","1.27209"
"    82 Alkmene","2.762901331634047",".2200857333350964","2.826411809706937","25.44858368083969","111.2202279009248","2.154826165928854","3.370976497339241","4.59257508968808","56507","2715","8.40","57.621","0.167","12.999",".814",".380","","1.17092"
"    83 Beatrix","2.432320401585993",".0815213955857237","4.96396231742799","27.73796132425926","168.5024849690839","2.234034247937075","2.630606555234911","3.79349377814636","56348","2299","8.66","110.503","0.050","10.16",".704",".266","","1.23261"
"    84 Klio","2.36248979041079",".2358436942418884","9.3153473897677","327.5144105275068","15.15479519616707","1.805311470631564","2.919668110190015","3.63130822057941","56142","2400","9.32","79.16","0.0527","23.562",".733",".445","",".797648"
"    85 Io","2.651765384015089",".194545765099498","11.96206292367353","203.113542200887","123.0324743132932","2.135875658517509","3.167655109512668","4.31828048731892","56114","2619","7.61","154.79","0.0666","6.875",".668",".294","","1.1514"
"    86 Semele","3.106672827898354",".2148670495109551","4.820708575168352","86.09747439637144","308.9293322174564","2.43915120357198","3.774194452224729","5.47584921421927","53927","2728","8.54","109.929","0.056","16.634",".703",".321","","1.44908"
"    87 Sylvia","3.482566200617016",".09306324670621041","10.87710566740287","73.04534445584478","263.5579668543739","3.158467283118284","3.806665118115747","6.4991606670057","45460","3405","6.94","253.051","0.046","5.184",".710",".251","","2.17369"
"    88 Thisbe","2.769174121211883",".1616429097407448","5.213931520277047","276.4610477126321","36.23247244543822","2.321556758680424","3.216791483743342","4.60822418396513","55942","3145","7.04","232","0.0671","6.042",".681",".305","","1.30894"
"    89 Julia","2.550012155186965",".1847480527505757","16.12960260320511","311.549384954264","45.381374145658","2.078902375025875","3.021121935348056","4.07212947541126","55791","2272","6.60","145.483","0.189","11.387",".859",".442","","1.10012"
"    90 Antiope","3.149874886011074",".1660765204772417","2.206907590520282","69.97002221690363","244.8751967165091","2.626754625003707","3.672995147018442","5.59046789825411","55740","3876","8.27","115.974","0.058","16.509",".688",".317","","1.61312"
"    91 Aegina","2.592223971206279",".1056781136007815","2.103166381385261","10.58637931663154","73.45950267375699","2.318282631898473","2.866165310514086","4.17365921873693","55800","2602","8.84","103.402","0.048","6.025",".724",".317","","1.33535"
"    92 Undina","3.185736393419545",".1045333129004502","9.932002849360668","101.5788858203573","239.1327349354538","2.852720814187868","3.518751972651222","5.6862108221306","54118","2216","6.61","126.42","0.2509","15.941",".725",".275","","1.85836"
"    93 Minerva","2.756118498928164",".1390818484112762","8.556920246561583","4.049795600409386","274.8112195305714","2.372792443656723","3.139444554199605","4.57567354029103","54591","2296","7.9","154.155","0.056","5.982",".685",".315","","1.3753"
"    94 Aurora","3.1565385430109",".09394476760786555","7.970755523950056","2.574732729288816","60.46841850151313","2.85999826314247","3.453078822879329","5.60821748707685","53713","3643","7.57","204.89","0.0395","7.22",".663",".301","","1.88276"
"    95 Arethusa","3.065326792033578",".1525872372097024","12.99536706109092","243.0265829157397","153.928284555276","2.597597045692294","3.533056538374861","5.36689840161457","53556","2367","8.0","147.969","0.058","8.705",".711",".374","","1.61219"
"    96 Aegle","3.05088946103191",".140596567182688","15.97316727825925","321.497056978484","208.7460968434856","2.621944875956983","3.479834046106838","5.3290268854258","55335","2257","7.67","177.774","0.048","13.868",".775",".337","","1.64137"
"    97 Klotho","2.668490428834223",".2571372492837178","11.7776029102553","159.6242868815851","268.7045514299301","1.982322140223862","3.354658717444584","4.3591988108944","54449","2754","7.63","100.717","0.128","35.15",".716",".226","","1.03657"
"    98 Ianthe","2.687760365563581",".1867543729139068","15.57151840600441","353.9207067587311","158.7254609881789","2.185809363949901","3.189711367177261","4.40650249543952","54363","2217","8.84","132.788","0.029","16.479",".749",".375","","1.20184"
"    99 Dike","2.665704207846143",".1950032306435803","13.84727293643114","41.52310421193234","195.6087756648029","2.145883275375959","3.185525140316327","4.35237331126983","38098","2358","9.43","67.354","0.065","18.127",".703",".322","","1.13799"
"   100 Hekate","3.087283252207346",".1692041577249139","6.431726467934714","127.1913928999927","184.5787771812822","2.564902089859369","3.609664414555323","5.42466492788168","54173","2614","7.67","85.734","0.205","27.066",".838",".363","","1.54987"
"   101 Helena","2.583800892858926",".1402330852234916","10.19447260060351","343.3897136689662","348.3528838741673","2.221466522050106","2.946135263667745","4.15333314799169","54095","1839","8.33","65.84","0.1898","23.080",".854",".426","","1.21145"
"   102 Miriam","2.662343773509722",".2520325373404748","5.176794935591281","210.8577663590248","147.0569018063955","1.991346516999452","3.333341030019992","4.34414588624181","54622","2717","9.26","82.595","0.051","23.613",".726",".371","",".989341"
"   103 Hera","2.701656653130513",".07919872879328486","5.418388037136086","136.0836009888986","188.4790100841821","2.487688880566655","2.91562442569437","4.44072044884852","54091","2313","7.66","83.908","0.217","23.740",".853",".441","","1.47464"
"   104 Klymene","3.145016321107112",".1605722041566028","2.790040531807072","41.6743469412415","31.83567246366648","2.640014118318452","3.650018523895771","5.57753825400332","48908","2635","8.27","136.553","0.052","8.984",".688",".340","","1.6552"
"   105 Artemis","2.373917360651426",".177378503579967","21.44015558627027","188.257346594119","57.03037250914941","1.952835451596571","2.794999269706281","3.65768749049343","42059","2377","8.57","112.326","0.016","37.15506",".693",".317","","1.01144"
"   106 Dione","3.186263512433768",".1621661366107806","4.592184152974613","62.15755583561553","330.1541992183188","2.669559468398488","3.702967556469047","5.68762216010165","54213","2512","7.41","207.869","0.044","16.210",".743",".464","","1.67634"
"   107 Camilla","3.491538544451851",".06537689776053376","9.999895106857347","172.5968079398291","306.5943523762499","3.263272586004259","3.719804502899442","6.52429310238389","54913","3047","7.08","254","0.059","4.844",".705",".298","","2.29158"
"   108 Hecuba","3.236576263689376",".05547508755637338","4.220482269351368","349.9860671844386","205.5650273317868","3.057026912078328","3.416125615300424","5.82286832650777","50873","2652","8.09","75.498","0.148","14.256",".855",".502","","2.05678"
"   109 Felicitas","2.696073711125452",".2988888978432471","7.842543567241226","2.800725171322794","57.45136515645616","1.890247211103013","3.501900211147892","4.42696251700258","54735","2130","8.75","82.588","0.056","13.191",".696",".408","",".915348"
"   110 Lydia","2.731441254291479",".08145157110435765","5.96495350942074","56.86559515071237","283.1161075795628","2.508961072750181","2.953921435832777","4.51435802320067","54376","2456","7.80","86.09","0.1808","10.927",".705",".298","","1.50807"
"   111 Ate","2.593214392202516",".1027068734599861","4.931572607177219","305.7385347899802","166.3973952486732","2.326873449767958","2.859555334637075","4.17605141627747","54422","2633","8.02","126.344","0.062","22.072",".690",".389","","1.34401"
"   112 Iphigenia","2.433981118719859",".1277009840882687","2.599053275765513","323.4144081255661","17.30026913418924","2.123159334607068","2.74480290283265","3.79737957090934","54221","2978","9.84","69.818","0.042","31.466",".696",".284","","1.11377"
"   113 Amalthea","2.375661941339883",".08692281531552536","5.042972117540049","123.451623907076","78.70826107372899","2.169162717160674","2.582161165519092","3.66172025714845","54214","2750","8.74","50.137","0.224","9.950",".925",".521","","1.17311"
"   114 Kassandra","2.678568836904229",".1353613005796286","4.935770918211483","164.2032976590345","352.5416514796269","2.31599427544881","3.041143398359649","4.38391797819405","42721","2366","8.26","94.178","0.089","10.7431",".768",".269","","1.32601"
"   115 Thyra","2.379582469111072",".1931026260848779","11.59296381008666","308.7956600089923","97.14189804213765","1.920078845340186","2.839086092881958","3.67078833849983","53383","2084","7.51","79.83","0.2747","7.241",".851",".431","",".969638"
"   116 Sirona","2.766288648674965",".1420601604984332","3.564398299563404","63.71031053762579","94.53183559461817","2.373309239259206","3.159268058090724","4.60102342339114","53563","2567","7.82","71.70","0.2560","12.028",".873",".429","","1.38617"
"   117 Lomia","2.990315511327769",".02762770758569244","14.90248311079075","348.775484864483","51.19681674267999","2.907699948791845","3.072931073863693","5.17110936275861","46233","2387","7.95","208.974","0.027","9.127",".687",".306","","1.92333"
"   118 Peitho","2.436754880451317",".1645618648551606","7.745998414689236","47.68280997571204","33.4010243041746","2.035757953129335","2.8377518077733","3.80387265317193","53839","2540","9.14","40.211","0.245","7.8055",".859",".433","","1.05591"
"   119 Althaea","2.581258245204585",".0804554203129626","5.786176717099407","203.6540220195117","171.3465660613776","2.373582028150349","2.78893446225882","4.14720388451564","53819","2682","8.42","57.30","0.2306","11.484",".874",".342","","1.37392"
"   120 Lachesis","3.11951282548796",".05222761218975713","6.961645059631422","341.1739907765961","233.6346941659911","2.956588119417401","3.282437531558518","5.50983210830483","53686","2216","7.75","155.132","0.058","46.551",".707",".383","","1.95778"
"   121 Hermione","3.451838968715325",".1318773194198184","7.597630696274856","73.12248426848993","297.951481928939","2.996619698452278","3.907058238978373","6.41333599488044","53761","3553","7.31","209.00","0.0482","5.55128",".739",".425","","2.00636"
"   122 Gerda","3.224719233862817",".03170015898386409","1.640270991568668","178.1293600231943","321.714691886741","3.122495121471041","3.326943346254593","5.79089998422435","53609","2781","7.87","70.676","0.297","10.685",".776",".410","","2.13584"
"   123 Brunhild","2.694897610803152",".1204898007900056","6.413864109978519","307.7305945469788","125.7764620272031","2.370189934528018","3.019605287078286","4.42406609163563","53708","2574","8.9","45.209","0.261","9.873",".850",".395","","1.39196"
"   124 Alkeste","2.630776465978976",".07549287876107691","2.957083610965701","187.9836206920566","61.88221199382024","2.432171577185331","2.829381354772621","4.26711281008056","53578","3007","8.11","88.648","0.128","9.906",".844",".424","","1.41966"
"   125 Liberatrix","2.744361969126038",".07777621048597994","4.663375922782148","168.9922714562179","109.7857692844452","2.530915894965573","2.957808043286502","4.54642771755348","53527","3929","9.04","48.418","0.182","3.968",".705",".239","","1.51881"
"   126 Velleda","2.438405201144738",".1065161105277524","2.924683944335285","23.30920055925621","328.1914587591809","2.178675763228159","2.698134639061317","3.80773763313845","53591","2825","9.27","44.82","0.1723","5.3672",".865",".496","","1.17273"
"   127 Johanna","2.75544978626641",".06689319919257809","8.244857695918421","31.1555035381278","93.72358429666498","2.571128934848544","2.939770637684275","4.57400835868134","37212","2282","8.6","122","0.042","12.7988","","","","1.60307"
"   128 Nemesis","2.749885199409648",".1274065975584059","6.245447182513216","76.24209972303758","303.7428179708494","2.399531682476646","3.10023871634265","4.56015965108673","53492","2364","7.49","162.515","0.067","77.81",".685",".392","","1.40859"
